TF	target
BCL6B	DNAJC11
ZNF354C	DNAJC11
Nkx2-5(var	DNAJC11
DUXA	DNAJC11
SPIB	DNAJC11
HSF2	DNAJC11
VSX2	CAMTA1
NKX6-1	CAMTA1
LMX1A	CAMTA1
VSX1	CAMTA1
VAX2	CAMTA1
Lhx4	CAMTA1
NKX6-2	CAMTA1
VAX1	CAMTA1
LMX1B	CAMTA1
ESR1	CAMTA1
Hoxd8	CAMTA1
Arid3b	CAMTA1
REST	CAMTA1
POU6F1	CAMTA1
MNX1	CAMTA1
MEF2A	CAMTA1
THAP1	CAMTA1
ZEB1	CAMTA1
Alx4	CAMTA1
Alx1	CAMTA1
Pax6	CAMTA1
PRDM1	CAMTA1
NFIC	CAMTA1
SOX8	CAMTA1
RARA	CAMTA1
TCF3	CAMTA1
EBF1	CAMTA1
POU5F1	CAMTA1
ESRRB	CAMTA1
Stat6	CAMTA1
Nfe2l2	CAMTA1
MAF	CAMTA1
PKNOX1	CAMTA1
PKNOX2	CAMTA1
TGIF2	CAMTA1
mix-a	CAMTA1
RARA(var	CAMTA1
Rarb(var	CAMTA1
Esrrg	CAMTA1
Nr5a2	CAMTA1
SP4	CAMTA1
Gata4	CAMTA1
FOSL1	CAMTA1
E2F7	CAMTA1
YY1	CAMTA1
Foxq1	CAMTA1
HOXC13	CAMTA1
ESR1	PER3
CTCFL	PER3
SREBF2	PER3
SREBF1	PER3
PBX3	PER3
Gfi1b	PER3
MGA	PER3
VDR	PER3
Tcfl5	PER3
Nr5a2	PER3
Zfx	PER3
TCF7L1	PER3
Pitx1	ERRFI1
OTX1	ERRFI1
OTX2	ERRFI1
Crx	ERRFI1
PPARA	ERRFI1
GSC2	ERRFI1
Arid3a	ERRFI1
NFAT5	ERRFI1
Dmbx1	ERRFI1
PROP1	ERRFI1
HNF4G	RERE
TEAD1	RERE
TEAD4	RERE
PBX3	RERE
PBX2	RERE
ZBTB18	RERE
Tcf12	RERE
Myog	RERE
Arid3a	RERE
RREB1	RERE
NHLH1	RERE
TFAP4	RERE
FOXH1	RERE
Mafb	RERE
ZNF24	ENO1-AS1
FOSL1	ENO1-AS1
FOS	ENO1-AS1
JUND	ENO1-AS1
NFE2	ENO1-AS1
FOSB	ENO1-AS1
FOSL2	ENO1-AS1
ONECUT3	ENO1-AS1
FOXA1	ENO1-AS1
HNF1A	ENO1-AS1
HOXB13	ENO1-AS1
JUNB	ENO1-AS1
NFYB	ENO1-AS1
NFIC	ENO1-AS1
SOX9	ENO1-AS1
TBP	ENO1-AS1
Hoxc9	ENO1-AS1
JUN(var	ENO1-AS1
Nfe2l2	ENO1-AS1
Pou5f1	ENO1-AS1
FOXD2	ENO1-AS1
Foxa2	ENO1-AS1
Foxj2	ENO1-AS1
FOXG1	ENO1-AS1
FOXK2	ENO1-AS1
HNF1B	ENO1-AS1
Foxd3	ENO1-AS1
BACH2	ENO1-AS1
SPIC	ENO1-AS1
FOXH1	ENO1-AS1
Foxq1	ENO1-AS1
Hoxa9	ENO1-AS1
SP2	ENO1
ESR1	ENO1-AS1
SP1	ENO1
Gfi1b	ENO1
ZNF263	ENO1-AS1
EGR3	ENO1
NFIC	LNCTAM34A
NFIA	LNCTAM34A
PKNOX1	LNCTAM34A
PKNOX2	LNCTAM34A
TGIF2	LNCTAM34A
TGIF1	LNCTAM34A
GATA1	LNCTAM34A
KLF5	H6PD
YY1	H6PD
SP2	SLC25A33
ESR1	SLC25A33
POU1F1	SLC25A33
Arid5a	SLC25A33
ZEB1	SLC25A33
ID4	SLC25A33
TCF3	SLC25A33
TCF4	SLC25A33
NFATC1	SLC25A33
NFATC3	SLC25A33
NFAT5	SLC25A33
NFATC2	SLC25A33
SREBF1	SLC25A33
ZNF384	SLC25A33
SP1	SLC25A33
RORB	SLC25A33
HINFP	SLC25A33
Ahr	SLC25A33
SCRT1	SLC25A33
ZNF263	SLC25A33
KLF13	SLC25A33
SNAI2	SLC25A33
Rarg	TMEM201
Rarb	TMEM201
FOXC2	CTNNBIP1
MEF2A	CTNNBIP1
MEF2D	CTNNBIP1
MEF2B	CTNNBIP1
Dlx3	CTNNBIP1
MSX2	CTNNBIP1
DLX6	CTNNBIP1
Dlx4	CTNNBIP1
Msx3	CTNNBIP1
FOSL1	CTNNBIP1
SP2	CTNNBIP1
BSX	CTNNBIP1
INSM1	CTNNBIP1
Klf1	CTNNBIP1
RORA(var	CTNNBIP1
Hand1	CTNNBIP1
ZEB1	CTNNBIP1
IRF1	CTNNBIP1
ZNF740	CTNNBIP1
NFYB	CTNNBIP1
ID4	CTNNBIP1
TCF3	CTNNBIP1
FIGLA	CTNNBIP1
TCF4	CTNNBIP1
Gfi1	CTNNBIP1
CDX2	CTNNBIP1
Phox2b	CTNNBIP1
PHOX2A	CTNNBIP1
PROP1	CTNNBIP1
Nobox	CTNNBIP1
NR1H4	CTNNBIP1
